Номер;Дата підписання;Кількість;Рік;Назва угоди;галузь;місто;чинність;рік припинення;КОРОТКИЙ ЗМІСТ;Наявність на сайті ВР;Сфера дії договору;Загальна сфеа;Посилання на закон;темін припинення;актуальність;Рівень договоу;Тип договору;
643_015;14.01.1992;1;1992;Протокол про встановлення дипломатичних відносин між Україною і РФ від 14.01.92.;встановлення дипломатичних відносин;Мінськ;чинний;;"погодились встановити дипломатичні  відносини  та  обмінятися 
дипломатичними представництвами на рівні Посольств.";;дипломатичні відносини;міжнародні відносини;https://zakon.rada.gov.ua/laws/show/643_015;безстроково;неактуальні;міжнародні;протокол;
643_701;28.02.1992;2;1992;Угода про співробітництво між МВС України і МВС РФ від 28.02.92.;кооперація органів внутрішні справ держав  ;Москва;припиний;2009;"зобов'язуються забезпечувати безперешкодний прийом  і 
розгляд  органами  внутрішніх  справ  скарг  і  заяв  громадян  та 
юридичних осіб держави  іншої  Сторони  з  питань,  віднесених  до 
компетенції цих органів, сприяти боротьбі із злочинністю";;МВС;оборона;http://zakon.rada.gov.ua/laws/show/643_701;припининення дії ;неактуальні;міжвідомчі;угода;
643_016;11.04.1992;3;1992;Угода між Україною і РФ про порядок переміщення ядерних боєприпасів з території України на центральні передзаводські бази РФ з метою їх розукомплектації та знищення підприємствах промисловості РФ від  11.04.92.;розукомплектування та знищення ядерної зброї України;Київ;чинний;;"Україна здійснює  контроль   за 
переміщенням ядерних боєприпасів, які знаходяться на її території, 
і забезпечує спільно  з  Російською  Федерацією  їх  вивезення  на 
центральні  передзаводські  бази,  які  знаходяться  на  території 
Російської Федерації, для розукомплектування і знищення";;ядерне розброєння;ракетно-космічна  техніка;https://zakon.rada.gov.ua/laws/show/643_016;до виконання передбаченою угодою заходів;неактуальні;міжнародні;угода;
643_017;26.04.1994;4;1999;Протокол до Угоди між Україною і РФ “Про порядок переміщення ядерних боєприпасів з території України на центральні передзаводські бази РФ з метою їх розукомплектації та знищення” про порядок контролю за знищенням ядерних боєприпасів, що вивозяться з території України, на підприємства промисловості РФ від 11.04.92.;створення органу контролю процесу знищення ядерних запасів Росією;Київ;чинний;;Україна створює свій орган контролю за розукомплектуванням ядерної зброї, Російська Федерація  сприяє    спостерігачам    протягом  строку їх перебування на підприємствах промисловості;;ядерне розброєння;ракетно-космічна  техніка;https://zakon.rada.gov.ua/laws/show/643_017;діє до часу дії Угоди;неактуальні;міжнародні;протокол;
643_017;12.04.1992;5;1992;Додаток до Протоколу між Україною і РФ “Про порядок контролю за знищенням ядерних боєприпасів, що вивозяться з території України, на підприємства промисловості РФ” про процедури і діяльність по контролю за знищенням ядерних боєприпасів на;процедура розукомплектування, правовий статус та витрати на спостерігачів;Москва;чинний;;правовий статус спостерігачів, процедура розукомплектування та витати по забезпеченню спостерігачів на підприємствах;;ядерне розброєння;ракетно-космічна  техніка;https://zakon.rada.gov.ua/laws/show/643_017;діє до часу дії Угоди;неактуальні;міжнародні;додаток до протоколу;
 643_170;17.06.1992;6;1992;Протокол про процедури, які регулюють розукомплектування та ліквідацію ядерних боєприпасів, вивезених з території України, на підприємствах РФ від 17.06.92 .;процедури, що регулюють розукомплектування ядерних боєприпасів;Москва;чинний;;;;ядерне розброєння;ракетно-космічна  техніка;https://zakon.rada.gov.ua/laws/show/643_170;діє до часу дії Угоди;неактуальні;міжнародні;протокол;
643_018;23.06.1992;7;1992;Угода між Україною і РФ про подальший розвиток міждержавних відносин від 23.06.92.;засади відносин між державами ;Дагомисі;чинний;;сторони погодились щодо ряду пунктів: розробки політичного договору між державами, захищати конституційний лад держав, реорганізація платіжно-розрахункових відносин, довгострокові кредити на пільгових умовах, створення комісію з регулювання  торгово-економічних зв'язків, обслуговування внутрішнього боргу СРСР,  правила митного контролю, урегулювання конфліктів, передачу частини майна від СРСР, створення ВМС на базі Чорноморського флоту, міжпарламентські зв'язки ;;;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/643_018;безстроково;неактуальні;міжнародні;угода;
?;23.06.1992;8;1992;Угода  між Міноборони України та Міноборони РФ про організацію підготовки офіцерського складу, порядку переведення (відрядження) та звільнення осіб офіцерського складу, прапорщиків та мічманів від 23.06.92.;воєнна медицина;Москва;немає в базі;;;немає;військова сфера;оборона;н.а;;неактуальні;міжнародні;угода;
643_415;21.07.1992;9;1992;Протокол між Державним митним комітетом України та Державним митним комітетом РФ про митне оформлення транзитних вантажів від 21.07.92.;митне оформлення транзитних вантажів;Мінськ;чинний;;транзитні вантажі звільняються від митного оформлення, вантажі, які ввозяться підлягають митногому оформленню;;митниця;переміщення через кордон;https://zakon.rada.gov.ua/laws/show/643_415;безстроково з трьохмісячним розриванням;неактуальні;міжвідомчі;протокол;
643_023;03.08.1992;10;1992;Угода між Урядом України і Урядом РФ про реалізацію права на закордонну власність колишнього СРСР для цілей дипломатичних, консульських і торгових представництв від 03.08.92.;частка закордонної власності СРСР переходить Україні;Ялта;чинний;;"будівлі і приміщення дипломатичних,  консульських і  торгових 
представництв  колишнього Союзу РСР  передається  у  користування  Україні  у відповідності  з  шкалою  фіксованих  часток  (16,37%)  в  активах колишнього Союзу РСР";;;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/643_023;безстроково;неактуальні;міжурядові;угода;
