№,Номер,Дата підписання,Кількість документів ,Рік,Назва угоди,ціль,місто,чинність,рік припинення,КОРОТКИЙ ЗМІСТ,Наявність на сайті ВР,Сфера дії договору,галузь,Загальна сфеа,Код ,Код 2,Посилання на закон,темін припинення,актуальність,виконання,Рівень договоу,Тип договору,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,
1,643_011,14.06.1991,1,1992," Договір між Українською Радянською Соціалістичною Республікою і 
  Російською Радянською Федеративною Соціалістичною Республікою","визнають  одна  одну  суверенними державами і зобов'язуються утримуватись від дій, що можуть завдати 
шкоди державному суверенітету іншої Сторони",Київ,чинний,,"розвиватимуть    рівноправне  і взаємовигідне співробітництво своїх  народів  і  держав  у  галузі політики, економіки, культури, охорони здоров'я, екології,  науки, техніки, торгівлі, у гуманітарній та  інших  галузях,  сприятимуть широкому   інформаційному    обміну,    сумлінно    й    неухильно дотримуватимуть взаємних зобов'язань.",,дипломатичні відносини,,міжнародні відносини,11,11,https://zakon.rada.gov.ua/laws/show/643_011,10 років з шестимісячним розриванням,неактуальні,порушується,міжнародні,угода,0,,,
2,643_015,14.01.1992,2,1992,Протокол про встановлення дипломатичних відносин між Україною і РФ від 14.01.92.,встановлення дипломатичних відносин,Мінськ,чинний,,"погодились встановити дипломатичні  відносини  та  обмінятися 
дипломатичними представництвами на рівні Посольств.",,дипломатичні відносини,встановлення дипломатичних відносин,міжнародні відносини,11,11,https://zakon.rada.gov.ua/laws/show/643_015,безстроково,неактуальні,порушується,міжнародні,протокол,643_011 ,,,
3,643_155,14.02.1992,3,1992,Угода між Урядом України і Урядом РФ про стабілізацію господарських зв'язків у 1992 році ,здійснення торговельно-економічні взаємовідносини на основі взаємної вигоди,Мінськ,чинний,,"створення  найсприятливіших  економічних   і 
правових  умов підприємницької діяльності всіх видів господарських 
структур,  розвитку  ринкових  відносин  і   широких   економічних 
зв'язків",,торгово-економічні відносини,економіка,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_155,не вказані умови розривання,неактуальні,порушується,міжурядові,угода,0,,,
4,643_701,28.02.1992,4,1992,Угода про співробітництво між МВС України і МВС РФ від 28.02.92.,кооперація органів внутрішні справ держав  ,Москва,припинений 2009,2009,"зобов'язуються забезпечувати безперешкодний прийом  і 
розгляд  органами  внутрішніх  справ  скарг  і  заяв  громадян  та 
юридичних осіб держави  іншої  Сторони  з  питань,  віднесених  до 
компетенції цих органів, сприяти боротьбі із злочинністю",,МВС,кооперація органів внутрішні справ держав  ,оборона,6,6,http://zakon.rada.gov.ua/laws/show/643_701,припининення дії ,неактуальні,,міжвідомчі,угода,643_011 ,,,
5,643_016,11.04.1992,5,1992,Угода між Україною і РФ про порядок переміщення ядерних боєприпасів з території України на центральні передзаводські бази РФ з метою їх розукомплектації та знищення підприємствах промисловості РФ від  11.04.92.,розукомплектування та знищення ядерної зброї України,Київ,чинний,,"Україна здійснює  контроль   за 
переміщенням ядерних боєприпасів, які знаходяться на її території, 
і забезпечує спільно  з  Російською  Федерацією  їх  вивезення  на 
центральні  передзаводські  бази,  які  знаходяться  на  території 
Російської Федерації, для розукомплектування і знищення",,ядерне розброєння,розукомплектування та знищення ядерної зброї України,атомна енергетика,7,7,https://zakon.rada.gov.ua/laws/show/643_016,до виконання передбаченою угодою заходів,неактуальні,виконано,міжнародні,угода,0,,,
6,643_017,11.04.1992,6,1992,"Протокол до Угоди між Україною і РФ “Про порядок переміщення ядерних боєприпасів з території України на центральні передзаводські бази РФ з метою їх розукомплектації та знищення” про порядок контролю за знищенням ядерних боєприпасів, що вивозяться з території України, на підприємства промисловості РФ від 11.04.92.",створення органу контролю процесу знищення ядерних запасів Росією,Київ,чинний,,"Україна створює свій орган контролю за розукомплектуванням ядерної зброї, Російська Федерація  сприяє    спостерігачам    протягом  строку їх перебування на підприємствах промисловості",,ядерне розброєння,створення органу контролю процесу знищення ядерних запасів Росією,атомна енергетика,7,7,https://zakon.rada.gov.ua/laws/show/643_017,до виконання передбаченою угодою заходів,неактуальні,виконано,міжнародні,протокол,643_016,,,
7,643_017,12.04.1992,7,1992,"Додаток до Протоколу між Україною і РФ “Про порядок контролю за знищенням ядерних боєприпасів, що вивозяться з території України, на підприємства промисловості РФ” про процедури і діяльність по контролю за знищенням ядерних боєприпасів на","процедура розукомплектування, правовий статус та витрати на спостерігачів",Москва,чинний,,"правовий статус спостерігачів, процедура розукомплектування та витати по забезпеченню спостерігачів на підприємствах",,ядерне розброєння,"процедура розукомплектування, правовий статус та витрати на спостерігачів",атомна енергетика,7,7,https://zakon.rada.gov.ua/laws/show/643_017,до виконання передбаченою угодою заходів,неактуальні,виконано,міжнародні,додаток до протоколу,643_016,,,
8, 643_170,17.06.1992,8,1992,"Протокол про процедури, які регулюють розукомплектування та ліквідацію ядерних боєприпасів, вивезених з території України, на підприємствах РФ від 17.06.92 .","процедури, що регулюють розукомплектування ядерних боєприпасів",Москва,чинний,,,,ядерне розброєння,"процедури, що регулюють розукомплектування ядерних боєприпасів",атомна енергетика,7,7,https://zakon.rada.gov.ua/laws/show/643_170,до виконання передбаченою угодою заходів,неактуальні,виконано,міжнародні,протокол,643_016,,,
9,643_018,23.06.1992,9,1992,Угода між Україною і РФ про подальший розвиток міждержавних відносин від 23.06.92.,засади відносин між державами ,Дагомисі,чинний,,"сторони погодились щодо ряду пунктів: розробки політичного договору між державами, захищати конституційний лад держав, реорганізація платіжно-розрахункових відносин, довгострокові кредити на пільгових умовах, створення комісію з регулювання  торгово-економічних зв'язків, обслуговування внутрішнього боргу СРСР,  правила митного контролю, урегулювання конфліктів, передачу частини майна від СРСР, створення ВМС на базі Чорноморського флоту, міжпарламентські зв'язки ",,міжнародна співпраця,засади відносин між державами ,міжнародні відносини,11,11,http://zakon.rada.gov.ua/laws/show/643_018,безстроково,неактуальні,порушується,міжнародні,угода,643_011 ,,,
10,?,23.06.1992,10,1992,"Угода  між Міноборони України та Міноборони РФ про організацію підготовки офіцерського складу, порядку переведення (відрядження) та звільнення осіб офіцерського складу, прапорщиків та мічманів від 23.06.92.",воєнна медицина,Москва,немає в базі,,,немає,військова сфера,воєнна медицина,оборона,6,-1,н.а,,неактуальні,н.а,міжнародні,угода,0,,,
